RF_,KNN_,LR_,NB_,SVM_
0.885,0.8476666666666667,0.8555,0.66,0.8785
0.8841666666666667,0.8506666666666667,0.8523333333333334,0.6659999999999999,0.8806666666666667
0.885,0.8491666666666666,0.8528333333333333,0.6653333333333333,0.8771666666666667
0.8826666666666667,0.8526666666666667,0.8521666666666666,0.654,0.8803333333333333
0.8853333333333333,0.8508333333333333,0.855,0.6653333333333333,0.8813333333333333
0.882,0.848,0.852,0.6598333333333334,0.8785
0.8816666666666667,0.8471666666666666,0.846,0.6623333333333333,0.8798333333333334
0.8788333333333334,0.8438333333333333,0.8508333333333333,0.6641666666666667,0.8783333333333333
0.8865,0.8493333333333334,0.8508333333333333,0.6535,0.879
0.8811666666666667,0.8498333333333333,0.8445,0.6641666666666667,0.875
